Date,Time,Team1,Team2,Location
9/6/2017,19:00,MU,WU,MU
9/6/2017,19:00,AB,DE,AB
9/9/2017,14:00,TU,HC,TU
9/9/2017,14:00,OV,AB,OV
9/9/2017,14:00,OD,CU,OD
9/9/2017,14:00,TN,KW,TN
9/13/2017,19:00,UC,WU,UC
9/16/2017,14:00,LE,WU,LE
9/16/2017,14:00,UC,TU,UC
9/16/2017,14:00,MU,OV,MU
9/16/2017,14:00,DE,AB,DE
9/16/2017,14:00,KW,TN,KW
9/23/2017,14:00,LE,HC,LE
9/23/2017,14:00,MU,UC,MU
9/23/2017,14:00,OV,DE,OV
9/27/2017,19:00,UF,TU,UF
9/27/2017,19:00,LE,UC,LE
9/30/2017,14:00,WU,MU,WU
10/4/2017,19:00,HC,TU,HC
10/4/2017,19:00,UF,OD,UF
10/4/2017,19:00,MU,LE,MU
10/4/2017,19:00,WU,AB,WU
10/4/2017,19:00,OV,UC,OV
10/4/2017,19:00,CU,TN,CU
10/4/2017,19:00,KW,DE,KW
10/7/2017,14:00,HC,TN,HC
10/7/2017,14:00,TU,UC,TU
10/7/2017,14:00,DE,MU,DE
10/7/2017,14:00,CU,OD,CU
10/7/2017,14:00,KW,UF,KW
10/11/2017,19:00,HC,CU,HC
10/11/2017,19:00,UF,KW,UF
10/11/2017,19:00,MU,DE,MU
10/11/2017,19:00,AB,LE,AB
10/11/2017,19:00,OD,UC,OD
10/14/2017,14:00,UC,LE,UC
10/14/2017,14:00,AB,MU,AB
10/14/2017,14:00,CU,UF,CU
10/14/2017,14:00,OD,TU,OD
10/14/2017,14:00,TN,DE,TN
10/18/2017,19:00,TU,CU,TU
10/18/2017,19:00,MU,AB,MU
10/18/2017,19:00,WU,OV,WU
10/18/2017,19:00,DE,LE,DE
10/18/2017,19:00,OD,KW,OD
10/18/2017,19:00,TN,HC,TN
10/21/2017,14:00,HC,UF,HC
10/21/2017,14:00,UC,DE,UC
10/21/2017,14:00,WU,LE,WU
10/21/2017,14:00,AB,TN,AB
10/21/2017,14:00,OV,MU,OV
10/21/2017,14:00,CU,TU,CU
10/21/2017,14:00,KW,OD,KW
10/25/2017,19:00,HC,WU,HC
10/25/2017,19:00,LE,TU,LE
10/25/2017,19:00,MU,UF,MU
10/25/2017,19:00,CU,KW,CU
10/25/2017,19:00,OD,OV,OD
10/25/2017,19:00,TN,AB,TN
10/28/2017,14:00,UF,HC,UF
10/28/2017,14:00,TU,OD,TU
10/28/2017,14:00,LE,OV,LE
10/28/2017,14:00,AB,WU,AB
10/28/2017,14:00,DE,TN,DE
10/28/2017,14:00,KW,CU,KW
11/1/2017,19:00,TU,UF,TU
11/1/2017,19:00,UC,OD,UC
11/1/2017,19:00,WU,HC,WU
11/1/2017,19:00,AB,OV,AB
11/1/2017,19:00,DE,KW,DE
11/1/2017,19:00,TN,CU,TN
11/4/2017,14:00,LE,AB,LE
11/4/2017,14:00,UC,MU,UC
11/4/2017,14:00,WU,UF,WU
11/4/2017,14:00,CU,HC,CU
11/4/2017,14:00,OD,TN,OD
11/4/2017,14:00,KW,OV,KW
11/8/2017,19:00,HC,UC,HC
11/8/2017,19:00,UF,CU,UF
11/8/2017,19:00,LE,DE,LE
11/8/2017,19:00,OV,WU,OV
11/8/2017,19:00,KW,AB,KW
11/8/2017,19:00,TN,OD,TN
11/11/2017,14:00,UF,MU,UF
11/11/2017,14:00,TU,WU,TU
11/11/2017,14:00,AB,CU,AB
11/11/2017,14:00,DE,UC,DE
11/11/2017,14:00,OV,LE,OV
11/11/2017,14:00,KW,HC,KW
11/15/2017,19:00,HC,KW,HC
11/15/2017,19:00,UC,OV,UC
11/15/2017,19:00,MU,OD,MU
11/15/2017,19:00,WU,TU,WU
11/15/2017,19:00,DE,CU,DE
11/15/2017,19:00,TN,UF,TN
11/18/2017,14:00,UF,WU,UF
11/18/2017,14:00,TU,TN,TU
11/18/2017,14:00,LE,MU,LE
11/18/2017,14:00,UC,HC,UC
11/18/2017,14:00,AB,KW,AB
11/18/2017,14:00,OV,OD,OV
11/18/2017,14:00,CU,DE,CU
11/22/2017,19:00,UF,TN,UF
11/22/2017,19:00,TU,LE,TU
11/22/2017,19:00,OV,KW,OV
11/22/2017,19:00,CU,AB,CU
11/22/2017,19:00,OD,MU,OD
11/25/2017,14:00,HC,LE,HC
11/25/2017,14:00,WU,UC,WU
11/25/2017,14:00,DE,OV,DE
11/25/2017,14:00,OD,UF,OD
11/25/2017,14:00,TN,TU,TN
